Month,Year,Sessions,Users,New_Users,Pageviews,Pages_Per_Session,Avg_Session_Duration_Seconds,Bounce_Rate_Percent,Goal_Completions,Goal_Conversion_Rate_Percent,Organic_Search_Sessions,Direct_Sessions,Paid_Search_Sessions,Social_Sessions,Referral_Sessions,Email_Sessions,Desktop_Sessions,Mobile_Sessions,Tablet_Sessions,Homepage_Sessions,Product_Pages_Sessions,Solutions_Pages_Sessions
January,2025,14621,12011,8038,48745,3.33,189,49.0,687,4.7,5632,3586,2657,1005,880,861,9088,3975,1558,4759,3694,1947
February,2025,15306,13294,8647,56379,3.68,188,45.0,598,3.91,6695,3676,2840,977,1131,-13,10044,4720,542,5067,3859,2730
March,2025,15545,13261,9389,55512,3.57,191,48.0,735,4.73,5949,3632,3068,982,766,1148,9732,4300,1513,5044,3760,2210
April,2025,15671,13101,9374,56240,3.59,187,44.0,753,4.81,6108,3804,3751,1341,975,-308,10359,4866,446,5239,3662,1910
May,2025,15486,12947,8606,58316,3.77,191,45.0,719,4.64,6252,4256,3213,1093,772,-100,10122,4270,1094,4969,4241,2229
June,2025,14968,13169,9029,48714,3.25,176,43.0,666,4.45,6399,3672,2751,1126,1195,-175,9755,4763,450,5092,3303,2443
July,2025,9527,8119,5428,34150,3.58,177,46.0,256,2.69,4165,2596,1865,762,449,-310,6428,2974,125,2866,2461,1491
August,2025,7808,6759,4648,28633,3.67,185,42.0,164,2.1,2976,2153,1817,728,408,-274,4868,2441,499,2703,1757,1164
September,2025,7062,6113,4301,23142,3.28,184,47.0,132,1.87,3053,1732,1360,576,488,-147,4463,1968,631,2469,1829,1033
October,2025,12337,10205,6793,41980,3.4,186,44.0,397,3.22,4740,3181,2390,1187,917,-78,7701,3383,1253,4032,2872,1578
November,2025,14134,12074,8247,51882,3.67,190,44.0,499,3.53,5736,3468,2940,1260,946,-216,9597,3758,779,4355,3397,2426
December,2025,14566,12110,8251,50298,3.45,180,44.0,687,4.72,5922,3957,3102,903,1164,-482,9761,4634,171,5023,3946,1893
