Month,Year,Google_Ads_Impressions,Google_Ads_Clicks,Google_Ads_CTR_Percent,Google_Ads_Spend,Google_Ads_Conversions,Google_Ads_Conversion_Rate_Percent,Google_Ads_CPC,Google_Ads_CPA,Google_Ads_ROAS,Facebook_Ads_Impressions,Facebook_Ads_Clicks,Facebook_Ads_CTR_Percent,Facebook_Ads_Spend,Facebook_Ads_Conversions,Facebook_Ads_Conversion_Rate_Percent,Facebook_Ads_CPC,Facebook_Ads_CPA,Facebook_Ads_ROAS,Total_Impressions,Total_Clicks,Total_CTR_Percent,Total_Ad_Spend,Total_Conversions,Total_Conversion_Rate_Percent,Total_CPC,Total_CPA,Blended_ROAS,Search_Campaigns_Spend,Display_Campaigns_Spend,Remarketing_Campaigns_Spend,Social_Campaigns_Spend
January,2025,284672,8396,2.95,26202.51,385,4.59,3.12,68.06,3.8,419517,10031,2.39,18177.8,446,4.45,1.81,40.76,3.03,704189,18427,2.62,44380.31,831,4.51,2.41,53.41,3.48,26286.49,9631.07,6201.05,2261.7
February,2025,300585,9927,3.3,29024.93,523,5.27,2.92,55.5,5.01,442967,9512,2.15,19345.09,441,4.64,2.03,43.87,2.62,743552,19439,2.61,48370.02,964,4.96,2.49,50.18,4.05,29429.18,8958.1,6344.37,3638.37
March,2025,299364,10395,3.47,29772.21,525,5.05,2.86,56.71,4.36,441168,9728,2.21,17395.25,346,3.56,1.79,50.28,3.83,740532,20123,2.72,47167.46,871,4.33,2.34,54.15,4.16,27103.44,9038.06,5526.28,5499.68
April,2025,311474,9993,3.21,32159.73,664,6.64,3.22,48.43,3.85,459014,10234,2.23,18328.57,428,4.18,1.79,42.82,3.65,770488,20227,2.63,50488.3,1092,5.4,2.5,46.23,3.78,29283.2,8690.67,6316.69,6197.74
May,2025,297274,9277,3.12,33385.73,599,6.46,3.6,55.74,3.46,438088,8445,1.93,15303.69,413,4.89,1.81,37.05,3.79,735362,17722,2.41,48689.42,1012,5.71,2.75,48.11,3.56,31060.3,8562.86,4355.99,4710.27
June,2025,307239,10115,3.29,33271.7,673,6.65,3.29,49.44,4.58,452774,8171,1.8,18414.85,324,3.97,2.25,56.84,3.59,760013,18286,2.41,51686.55,997,5.45,2.83,51.84,4.23,33280.61,8238.86,4492.89,5674.19
July,2025,179426,5718,3.19,17256.23,199,3.48,3.02,86.71,2.74,264417,5082,1.92,10709.76,115,2.26,2.11,93.13,1.94,443843,10800,2.43,27965.99,314,2.91,2.59,89.06,2.43,17913.16,5851.25,2392.15,1809.43
August,2025,155791,4663,2.99,13069.63,148,3.17,2.8,88.31,2.31,229587,4493,1.96,9853.08,100,2.23,2.19,98.53,1.64,385378,9156,2.38,22922.71,248,2.71,2.5,92.43,2.02,12629.66,3559.14,3048.41,3685.5
September,2025,147104,4680,3.18,16228.72,132,2.82,3.47,122.94,1.77,216786,4067,1.88,7510.15,97,2.39,1.85,77.42,1.81,363890,8747,2.4,23738.87,229,2.62,2.71,103.66,1.78,15099.59,5054.59,2198.33,1386.36
October,2025,237395,6817,2.87,23342.04,340,4.99,3.42,68.65,3.21,349846,7600,2.17,13099.68,296,3.89,1.72,44.26,3.01,587241,14417,2.46,36441.72,636,4.41,2.53,57.3,3.14,23600.41,7534.47,4842.56,464.28
November,2025,260456,8635,3.32,26472.74,479,5.55,3.07,55.27,4.1,383831,8898,2.32,20008.04,294,3.3,2.25,68.05,3.2,644287,17533,2.72,46480.78,773,4.41,2.65,60.13,3.71,26066.87,9809.85,6112.95,4491.11
December,2025,284244,9583,3.37,30361.27,479,5.0,3.17,63.38,4.46,418887,8111,1.94,13131.15,283,3.49,1.62,46.4,2.85,703131,17694,2.52,43492.42,762,4.31,2.46,57.08,3.97,27680.11,9467.53,4207.78,2137.0
