Month,Year,Total_Subscribers,Campaigns_Sent,Total_Emails_Sent,Delivered,Bounced,Bounce_Rate_Percent,Total_Opens,Open_Rate_Percent,Unique_Opens,Unique_Open_Rate_Percent,Total_Clicks,Click_Rate_Percent,Click_To_Open_Rate_Percent,Unique_Clicks,Unique_Click_Rate_Percent,Conversions,Conversion_Rate_Percent,New_Subscribers,Unsubscribes,Unsubscribe_Rate_Percent,Newsletter_Emails_Sent,Promotional_Emails_Sent,Nurture_Emails_Sent,Transactional_Emails_Sent,Email_Generated_Leads
January,2025,32271,10,24300,23898,402,1.65,5580,23.35,4785,20.02,1093,4.57,19.59,913,3.82,88,0.37,304,110,0.46,10275,8052,5118,855,64
February,2025,33697,11,28444,27307,1137,4.0,8900,32.59,7325,26.82,2204,8.07,24.76,1783,6.53,223,0.82,367,66,0.24,11844,9472,5159,1969,177
March,2025,35723,10,26519,25725,794,2.99,7025,27.31,5551,21.58,1642,6.38,23.37,1367,5.31,180,0.7,503,146,0.57,10079,9408,3978,3054,125
April,2025,36273,12,32518,31576,942,2.9,8348,26.44,6827,21.62,2305,7.3,27.61,1879,5.95,185,0.59,325,160,0.51,13439,10845,7539,695,143
May,2025,36262,10,25759,24886,873,3.39,7264,29.19,6159,24.75,1472,5.91,20.26,1133,4.55,145,0.58,347,153,0.61,10289,8356,5553,1561,94
June,2025,35677,13,34495,33266,1229,3.56,11196,33.66,9196,27.64,2195,6.6,19.61,1646,4.95,229,0.69,395,226,0.68,14376,13756,7228,-865,185
July,2025,22808,7,11980,11749,231,1.93,2147,18.27,1828,15.56,342,2.91,15.93,265,2.26,16,0.14,219,68,0.58,5110,4218,2547,105,11
August,2025,18347,5,6742,6563,179,2.65,822,12.52,656,10.0,103,1.57,12.53,82,1.25,3,0.05,193,34,0.52,2640,2162,1294,646,2
September,2025,17688,6,8194,7944,250,3.05,880,11.08,711,8.95,106,1.33,12.05,87,1.1,5,0.06,182,51,0.64,3315,2952,1409,518,3
October,2025,29587,6,13579,13173,406,2.99,2637,20.02,2155,16.36,424,3.22,16.08,336,2.55,23,0.17,303,70,0.53,4789,4946,2221,1623,16
November,2025,32441,9,21476,21025,451,2.1,5012,23.84,4210,20.02,1142,5.43,22.79,856,4.07,67,0.32,262,110,0.52,9664,7194,4617,1,52
December,2025,37612,12,32720,31427,1293,3.95,7609,24.21,6011,19.13,1829,5.82,24.04,1440,4.58,137,0.44,432,207,0.66,12001,11802,7355,1562,91
