Month,Year,Total_Leads,MQLs,MQL_Conversion_Rate_Percent,SQLs,SQL_Conversion_Rate_Percent,Opportunities_Created,Opportunity_Conversion_Rate_Percent,Pipeline_Value,Open_Opportunities,Closed_Won,Closed_Lost,Win_Rate_Percent,Loss_Rate_Percent,Monthly_Revenue,Cumulative_Revenue_YTD,Average_Deal_Size,New_Customers,Churned_Customers,Total_Active_Customers,Churn_Rate_Percent,Average_Sales_Cycle_Days,Website_Leads,Paid_Ads_Leads,Email_Marketing_Leads,Referral_Leads,Trade_Shows_Leads,Other_Leads,SmartDiag_Revenue,LiftMaster_Revenue,ToolHub_Revenue,Calibration_Kits_Revenue,Sales_Team_Size,Revenue_Per_Sales_Rep,Deals_Per_Sales_Rep
January,2025,733,308,42.02,142,46.1,110,77.46,2489045,24,42,44,38.18,40.0,907763,907763,21613,42,1,197,0.51,53,271,167,149,96,67,-17,262964,434259,115247,95293,12,75646,3.5
February,2025,663,300,45.25,155,51.67,121,78.06,2898660,32,45,44,37.19,36.36,1040978,1948741,23132,45,2,240,0.83,54,249,168,133,91,45,-23,358779,451594,113476,117129,12,86748,3.8
March,2025,733,336,45.84,193,57.44,160,82.9,3183757,36,63,61,39.38,38.12,1341842,3290583,21299,63,2,301,0.66,48,236,211,119,67,77,23,412250,628024,163800,137768,12,111820,5.2
April,2025,628,335,53.34,165,49.25,135,81.82,3052688,25,51,59,37.78,43.7,1142111,4432694,22394,51,3,349,0.86,51,205,149,124,61,56,33,363032,494639,120527,163913,12,95175,4.2
May,2025,689,356,51.67,187,52.53,144,77.01,2969238,45,47,52,32.64,36.11,1044455,5477149,22222,47,4,392,1.02,45,232,178,138,95,59,-13,316093,407392,95721,225249,12,87037,3.9
June,2025,621,256,41.22,132,51.56,102,77.27,2498203,23,35,44,34.31,43.14,651801,6128950,18622,35,5,422,1.18,51,242,165,113,66,39,-4,185183,309022,70827,86769,12,54316,2.9
July,2025,424,115,27.12,39,33.91,29,74.36,365352,12,6,11,20.69,37.93,89889,6218839,14981,6,3,425,0.71,83,156,120,70,47,34,-3,28352,41889,12530,7118,12,7490,0.5
August,2025,361,90,24.93,25,27.78,21,84.0,218838,9,3,9,14.29,42.86,29700,6248539,9900,3,3,425,0.71,90,115,92,69,35,23,27,9995,13373,3185,3147,12,2475,0.2
September,2025,359,87,24.23,22,25.29,17,77.27,203624,8,2,7,11.76,41.18,21049,6269588,10524,2,6,421,1.43,110,116,83,61,44,32,23,6379,8260,2553,3857,12,1754,0.2
October,2025,614,238,38.76,102,42.86,77,75.49,1212827,26,21,30,27.27,38.96,340068,6609656,16193,21,3,439,0.68,66,237,163,132,85,59,-62,102551,130593,42636,64288,12,28339,1.8
November,2025,636,296,46.54,131,44.26,105,80.15,2170284,36,32,37,30.48,35.24,583509,7193165,18234,32,4,467,0.86,57,247,156,126,61,73,-27,201360,253832,62604,65713,12,48625,2.7
December,2025,628,313,49.84,154,49.2,123,79.87,2957549,30,42,51,34.15,41.46,825779,8018944,19661,42,4,505,0.79,51,238,169,127,57,55,-18,292502,349974,100658,82645,12,68814,3.5
